Date,Symbols,Close,Change
24.06.16,V,72.26,0.95935087
24.06.16,VZ,41.653,0.995610159
24.06.16,WBA,68.706,0.96143903
24.06.16,WMT,63.874,0.998058484
27.06.16,AAPL,21.406,0.985438898
27.06.16,AMGN,122.56,0.987231221
27.06.16,AXP,52.724,0.960206332
27.06.16,BA,111.95,0.96980715
27.06.16,CAT,60.941,0.977406702
27.06.16,CRM,76.07,0.969538626
27.06.16,CSCO,22.684,0.984144004
27.06.16,CVX,77.873,0.984887154
27.06.16,DIS,89.041,0.986000839
27.06.16,GE,214.4,0.983232873
27.06.16,GS,126.16,0.983434033
27.06.16,HD,109.2,0.986313491
27.06.16,HON,99.104,0.986546346
27.06.16,IBM,110.76,0.978920689
27.06.16,INTC,26.433,0.973692614
27.06.16,JNJ,100.13,1.007956507
27.06.16,JPM,48.857,0.966610805
27.06.16,KO,36.308,0.996585635
27.06.16,MCD,100.83,0.973710715
27.06.16,MMM,142.03,0.988588016
27.06.16,MRK,46.29,0.989799514
27.06.16,MSFT,44.359,0.97190455
27.06.16,NKE,48.841,0.986689386
27.06.16,PG,68.591,0.987479015
27.06.16,TRV,96.433,0.993965106
27.06.16,UNH,125.71,0.998689052
27.06.16,V,70.61,0.977214896
27.06.16,VZ,41.89,1.005695456
27.06.16,WBA,66.694,0.970775292
27.06.16,WMT,63.468,0.993607702
28.06.16,AAPL,21.765,1.016840539
28.06.16,AMGN,125.8,1.026559588
28.06.16,AXP,52.937,1.003988366
28.06.16,BA,113.03,1.009698366
28.06.16,CAT,61.914,1.015970623
28.06.16,CRM,77.55,1.019455809
28.06.16,CSCO,23.073,1.01757623
28.06.16,CVX,78.851,1.012654402
28.06.16,DIS,90.617,1.017694469
28.06.16,GE,219.02,1.021145686
28.06.16,GS,128.78,1.020787458
28.06.16,HD,111.75,1.022940456
28.06.16,HON,101.43,1.023326656
28.06.16,IBM,112.46,1.015330929
28.06.16,INTC,26.838,1.015299518
28.06.16,JNJ,101.57,1.014414282
28.06.16,JPM,50.477,1.033154001
28.06.16,KO,36.641,1.009136553
28.06.16,MCD,102.76,1.018916743
28.06.16,MMM,144.09,1.014354898
28.06.16,MRK,46.516,1.004881672
28.06.16,MSFT,45.283,1.020854646
28.06.16,NKE,49.968,1.02312595
28.06.16,PG,69.629,1.015141925
28.06.16,TRV,99.74,1.034254504
28.06.16,UNH,127.12,1.01166961
28.06.16,V,72.364,1.024816243
28.06.16,VZ,41.951,1.001461257
28.06.16,WBA,67.107,1.006171948
28.06.16,WMT,63.477,1.000139865
29.06.16,AAPL,21.955,1.008654831
29.06.16,AMGN,127.2,1.011319251
29.06.16,AXP,54.79,1.035063191
29.06.16,BA,115.88,1.025022112
29.06.16,CAT,63.376,1.023579757
29.06.16,CRM,79,1.018697574
29.06.16,CSCO,23.47,1.016912609
29.06.16,CVX,80.246,1.017612641
29.06.16,DIS,91.496,1.009682469
29.06.16,GE,223.47,1.020374141
29.06.16,GS,131.54,1.021697757
29.06.16,HD,111.61,0.998745427
29.06.16,HON,101.79,1.003506979
29.06.16,IBM,114.59,1.018943275
29.06.16,INTC,27.474,1.023725567
29.06.16,JNJ,102.52,1.009303921
29.06.16,JPM,51.902,1.028225909
29.06.16,KO,36.856,1.005885027
